2025-06-22 11:01:48,427 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:106] Start: GF-CICO
2025-06-22 11:01:50,825 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:106] Start: GF-CICO
2025-06-22 11:01:55,840 - ERROR - [in d:\vs code\TN4_old\TN4\src\app.py:290] MQTT Loop Error: timed out
2025-06-22 11:40:01,713 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:106] Start: GF-CICO
2025-06-22 11:40:03,488 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:106] Start: GF-CICO
2025-06-22 12:16:59,417 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:18:26,617 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:18:28,441 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:20:32,329 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:20:34,149 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:49:52,631 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:108] Start: GF-CICO
2025-06-22 12:49:52,717 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 12:49:53,119 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:59] Client connected. Total: 1
2025-06-22 12:50:12,076 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:108] Start: GF-CICO
2025-06-22 12:50:12,127 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 12:50:13,845 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:108] Start: GF-CICO
2025-06-22 12:50:13,916 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 12:50:15,869 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:59] Client connected. Total: 1
2025-06-22 12:50:28,574 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:66] Client disconnected. Total: 0
2025-06-22 12:50:29,073 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:59] Client connected. Total: 1
2025-06-22 12:55:12,139 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 12:55:13,923 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
